player_id,player_name,season,week
00-0022127,J.Witten,2020,8
00-0022127,J.Witten,2020,9
00-0022127,J.Witten,2020,11
00-0022127,J.Witten,2020,13
00-0022127,J.Witten,2020,16
00-0022811,J.Cotchery,2015,12
00-0022811,J.Cotchery,2015,13
00-0022811,J.Cotchery,2015,14
00-0022811,J.Cotchery,2015,15
00-0022811,J.Cotchery,2015,16
00-0022811,J.Cotchery,2015,17
00-0022811,J.Cotchery,2015,19
00-0022811,J.Cotchery,2015,20
00-0022811,J.Cotchery,2015,21
00-0022921,L.Fitzgerald,2015,10
00-0022921,L.Fitzgerald,2015,11
00-0022921,L.Fitzgerald,2015,12
00-0022921,L.Fitzgerald,2015,13
00-0022921,L.Fitzgerald,2015,14
00-0022921,L.Fitzgerald,2015,15
00-0022921,L.Fitzgerald,2015,16
00-0022921,L.Fitzgerald,2015,17
00-0022921,L.Fitzgerald,2015,19
00-0022921,L.Fitzgerald,2015,20
00-0022921,L.Fitzgerald,2016,1
00-0022921,L.Fitzgerald,2016,2
00-0022921,L.Fitzgerald,2016,3
00-0022921,L.Fitzgerald,2016,4
00-0022921,L.Fitzgerald,2016,5
00-0022921,L.Fitzgerald,2016,6
00-0022921,L.Fitzgerald,2016,7
00-0022921,L.Fitzgerald,2016,8
00-0022921,L.Fitzgerald,2016,10
00-0022921,L.Fitzgerald,2016,11
00-0022921,L.Fitzgerald,2016,12
00-0022921,L.Fitzgerald,2016,13
00-0022921,L.Fitzgerald,2016,14
00-0022921,L.Fitzgerald,2016,15
00-0022921,L.Fitzgerald,2016,16
00-0022921,L.Fitzgerald,2016,17
00-0022921,L.Fitzgerald,2017,1
00-0022921,L.Fitzgerald,2017,2
00-0022921,L.Fitzgerald,2017,3
00-0022921,L.Fitzgerald,2017,4
00-0022921,L.Fitzgerald,2017,5
00-0022921,L.Fitzgerald,2017,6
00-0022921,L.Fitzgerald,2017,7
00-0022921,L.Fitzgerald,2017,9
00-0022921,L.Fitzgerald,2017,10
00-0022921,L.Fitzgerald,2017,11
00-0022921,L.Fitzgerald,2017,12
00-0022921,L.Fitzgerald,2017,13
00-0022921,L.Fitzgerald,2017,14
00-0022921,L.Fitzgerald,2017,15
00-0022921,L.Fitzgerald,2017,16
00-0022921,L.Fitzgerald,2017,17
00-0022921,L.Fitzgerald,2018,1
00-0022921,L.Fitzgerald,2018,2
00-0022921,L.Fitzgerald,2018,3
00-0022921,L.Fitzgerald,2018,4
00-0022921,L.Fitzgerald,2018,5
00-0022921,L.Fitzgerald,2018,6
00-0022921,L.Fitzgerald,2018,7
00-0022921,L.Fitzgerald,2018,8
00-0022921,L.Fitzgerald,2018,10
00-0022921,L.Fitzgerald,2018,11
00-0022921,L.Fitzgerald,2018,12
00-0022921,L.Fitzgerald,2018,13
00-0022921,L.Fitzgerald,2018,14
00-0022921,L.Fitzgerald,2018,15
00-0022921,L.Fitzgerald,2018,16
00-0022921,L.Fitzgerald,2018,17
00-0022921,L.Fitzgerald,2019,1
00-0022921,L.Fitzgerald,2019,2
00-0022921,L.Fitzgerald,2019,3
00-0022921,L.Fitzgerald,2019,4
00-0022921,L.Fitzgerald,2019,5
00-0022921,L.Fitzgerald,2019,6
00-0022921,L.Fitzgerald,2019,7
00-0022921,L.Fitzgerald,2019,8
00-0022921,L.Fitzgerald,2019,9
00-0022921,L.Fitzgerald,2019,10
00-0022921,L.Fitzgerald,2019,11
00-0022921,L.Fitzgerald,2019,13
00-0022921,L.Fitzgerald,2019,14
00-0022921,L.Fitzgerald,2019,15
00-0022921,L.Fitzgerald,2019,16
00-0022921,L.Fitzgerald,2019,17
00-0022921,L.Fitzgerald,2020,1
00-0022921,L.Fitzgerald,2020,2
00-0022921,L.Fitzgerald,2020,3
00-0022921,L.Fitzgerald,2020,4
00-0022921,L.Fitzgerald,2020,5
00-0022921,L.Fitzgerald,2020,6
00-0022921,L.Fitzgerald,2020,7
00-0022921,L.Fitzgerald,2020,9
00-0022921,L.Fitzgerald,2020,10
00-0022921,L.Fitzgerald,2020,11
00-0022921,L.Fitzgerald,2020,14
00-0022921,L.Fitzgerald,2020,15
00-0022921,L.Fitzgerald,2020,16
00-0022943,B.Watson,2015,9
00-0022943,B.Watson,2015,10
00-0022943,B.Watson,2015,12
00-0022943,B.Watson,2015,13
00-0022943,B.Watson,2015,14
00-0022943,B.Watson,2015,15
00-0022943,B.Watson,2015,16
00-0022943,B.Watson,2015,17
00-0022943,B.Watson,2017,1
00-0022943,B.Watson,2017,2
00-0022943,B.Watson,2017,3
00-0022943,B.Watson,2017,4
00-0022943,B.Watson,2017,5
00-0022943,B.Watson,2017,6
00-0022943,B.Watson,2017,7
00-0022943,B.Watson,2017,8
00-0022943,B.Watson,2017,9
00-0022943,B.Watson,2017,11
00-0022943,B.Watson,2017,12
00-0022943,B.Watson,2017,13
00-0022943,B.Watson,2017,14
00-0022943,B.Watson,2017,15
00-0022943,B.Watson,2017,16
00-0022943,B.Watson,2017,17
00-0022943,B.Watson,2018,1
00-0022943,B.Watson,2018,2
00-0022943,B.Watson,2018,3
00-0022943,B.Watson,2018,4
00-0022943,B.Watson,2018,5
00-0022943,B.Watson,2018,7
00-0022943,B.Watson,2018,9
00-0022943,B.Watson,2018,10
00-0022943,B.Watson,2018,12
00-0022943,B.Watson,2018,14
00-0022943,B.Watson,2018,15
00-0022943,B.Watson,2018,16
00-0022943,B.Watson,2018,17
00-0022943,B.Watson,2018,19
00-0022943,B.Watson,2019,7
00-0022943,B.Watson,2019,8
00-0022943,B.Watson,2019,9
00-0022943,B.Watson,2019,11
00-0022943,B.Watson,2019,12
00-0022943,B.Watson,2019,13
00-0022943,B.Watson,2019,14
00-0022943,B.Watson,2019,16
00-0022943,B.Watson,2019,17
00-0022943,B.Watson,2019,18
00-0022999,J.Kuhn,2015,19
00-0022999,J.Kuhn,2016,1
00-0022999,J.Kuhn,2016,2
00-0022999,J.Kuhn,2016,4
00-0022999,J.Kuhn,2016,7
00-0022999,J.Kuhn,2016,8
00-0022999,J.Kuhn,2016,9
00-0022999,J.Kuhn,2016,11
00-0022999,J.Kuhn,2016,12
00-0022999,J.Kuhn,2016,13
00-0022999,J.Kuhn,2016,14
00-0022999,J.Kuhn,2016,15
00-0022999,J.Kuhn,2016,16
00-0023465,H.Miller,2015,9
00-0023465,H.Miller,2015,10
00-0023465,H.Miller,2015,12
00-0023465,H.Miller,2015,14
00-0023465,H.Miller,2015,15
00-0023465,H.Miller,2015,16
00-0023465,H.Miller,2015,17
00-0023465,H.Miller,2015,18
00-0023465,H.Miller,2015,19
00-0023500,F.Gore,2015,11
00-0023500,F.Gore,2015,12
00-0023500,F.Gore,2015,13
00-0023500,F.Gore,2015,14
00-0023500,F.Gore,2015,15
00-0023500,F.Gore,2015,16
00-0023500,F.Gore,2015,17
00-0023500,F.Gore,2016,1
00-0023500,F.Gore,2016,2
00-0023500,F.Gore,2016,3
00-0023500,F.Gore,2016,4
00-0023500,F.Gore,2016,5
00-0023500,F.Gore,2016,6
00-0023500,F.Gore,2016,7
00-0023500,F.Gore,2016,8
00-0023500,F.Gore,2016,9
00-0023500,F.Gore,2016,11
00-0023500,F.Gore,2016,12
00-0023500,F.Gore,2016,13
00-0023500,F.Gore,2016,14
00-0023500,F.Gore,2016,15
00-0023500,F.Gore,2016,16
00-0023500,F.Gore,2016,17
00-0023500,F.Gore,2017,1
